2026-04-07 04:45:49 | INFO     | ingest                    | Saved validated data → data/interim/validated.csv
2026-04-07 04:45:49 | INFO     | ingest                    | Ingest stage complete ✓
2026-04-07 04:45:55 | INFO     | features                  | Logger 'features' initialised → logs/pipeline_20260407.log
2026-04-07 04:45:55 | INFO     | features                  | === STAGE: features ===
2026-04-07 04:45:55 | INFO     | features                  | Loaded 5000 rows for feature engineering
2026-04-07 04:45:55 | INFO     | features                  | Adding calendar features...
2026-04-07 04:45:55 | INFO     | features                  | ✓ Calendar: day_of_week, month, year, quarter, is_weekend
2026-04-07 04:45:55 | INFO     | features                  | Adding lag features for lags: [1, 7, 14]
2026-04-07 04:45:55 | DEBUG    | features                  |   Created lag_1 — nulls: 50
2026-04-07 04:45:55 | DEBUG    | features                  |   Created lag_7 — nulls: 350
2026-04-07 04:45:55 | DEBUG    | features                  |   Created lag_14 — nulls: 700
2026-04-07 04:45:55 | INFO     | features                  | Adding rolling features for windows: [7, 14]
2026-04-07 04:45:55 | DEBUG    | features                  |   Created rolling_mean_7, rolling_std_7
2026-04-07 04:45:55 | DEBUG    | features                  |   Created rolling_mean_14, rolling_std_14
2026-04-07 04:45:55 | INFO     | features                  | Dropped 700 rows with NaN (lag warm-up) → 4300 rows remain
2026-04-07 04:45:55 | INFO     | features                  | Scaling numerical columns: ['lag_1', 'lag_7', 'lag_14', 'rolling_mean_7', 'rolling_mean_14', 'rolling_std_7', 'rolling_std_14', 'price', 'day_of_week', 'month', 'year', 'quarter']
2026-04-07 04:45:55 | DEBUG    | features                  | Columns available for scaling: ['lag_1', 'lag_7', 'lag_14', 'rolling_mean_7', 'rolling_mean_14', 'rolling_std_7', 'rolling_std_14', 'price', 'day_of_week', 'month', 'year', 'quarter']
2026-04-07 04:45:55 | INFO     | features                  | ✓ Scaler saved → data/processed/scaler.pkl
2026-04-07 04:45:55 | INFO     | features                  | Saved features → data/processed/features.csv  shape:(4300, 19)
2026-04-07 04:45:55 | INFO     | features                  | Features stage complete ✓
2026-04-07 04:47:04 | INFO     | demo_train                | Logger 'demo_train' initialised → logs/pipeline_20260407.log
2026-04-07 04:47:04 | INFO     | demo_train                | === STAGE: demo_train (7 models, sklearn-only) ===
2026-04-07 04:47:04 | INFO     | demo_train                | Loaded features: (4300, 19)
2026-04-07 04:47:04 | INFO     | demo_train                | Daily aggregated: 86 days
2026-04-07 04:47:04 | INFO     | demo_train                | Training AR (LinearRegression on lags) ...
2026-04-07 04:47:04 | DEBUG    | demo_train                |   AR lag=14 RMSE=152.20
2026-04-07 04:47:04 | DEBUG    | demo_train                |   AR lag=1 RMSE=402.16
2026-04-07 04:47:04 | DEBUG    | demo_train                |   AR lag=21 RMSE=135.45
2026-04-07 04:47:04 | DEBUG    | demo_train                |   AR lag=3 RMSE=279.35
2026-04-07 04:47:04 | DEBUG    | demo_train                |   AR lag=7 RMSE=189.30
2026-04-07 04:47:04 | INFO     | demo_train                |   AR best_lag=21 RMSE=135.45
2026-04-07 04:47:04 | INFO     | demo_train                |   Saved → models/ar.pkl
2026-04-07 04:47:04 | INFO     | demo_train                | ✓ ar         RMSE=135.45
2026-04-07 04:47:04 | INFO     | demo_train                | Training ARIMA (Ridge + diff features) ...
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=0.01 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=0.01 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=100.0 RMSE=0.01
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=0.001 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=100.0 RMSE=0.01
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=100.0 RMSE=0.01
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=10.0 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=0.001 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=10.0 RMSE=0.00
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMA alpha=1.0 RMSE=0.00
2026-04-07 04:47:04 | INFO     | demo_train                |   ARIMA best_alpha=0.001 RMSE=0.00
2026-04-07 04:47:04 | INFO     | demo_train                |   Saved → models/arima.pkl
2026-04-07 04:47:04 | INFO     | demo_train                | ✓ arima      RMSE=0.00
2026-04-07 04:47:04 | INFO     | demo_train                | Training ARIMAX (Ridge + exog) ...
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.001 RMSE=314.47
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.001 RMSE=314.47
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.001 RMSE=314.47
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.01 RMSE=312.23
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.01 RMSE=312.23
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=10.0 RMSE=308.44
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=10.0 RMSE=308.44
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.001 RMSE=314.47
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=10.0 RMSE=308.44
2026-04-07 04:47:04 | DEBUG    | demo_train                |   ARIMAX alpha=0.01 RMSE=312.23
2026-04-07 04:47:04 | INFO     | demo_train                |   ARIMAX best_alpha=10.0 RMSE=308.44
2026-04-07 04:47:04 | INFO     | demo_train                |   Saved → models/arimax.pkl
2026-04-07 04:47:04 | INFO     | demo_train                | ✓ arimax     RMSE=308.44
2026-04-07 04:47:04 | INFO     | demo_train                | Training SARIMA (ElasticNet + Fourier seasonality) ...
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 1.0, 'l1_ratio': 0.3} RMSE=267.59
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 1.0, 'l1_ratio': 0.9} RMSE=191.90
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.1, 'l1_ratio': 0.1} RMSE=187.29
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.01, 'l1_ratio': 0.7} RMSE=157.98
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.1, 'l1_ratio': 0.5} RMSE=172.86
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.01, 'l1_ratio': 0.3} RMSE=158.78
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.1, 'l1_ratio': 0.1} RMSE=187.29
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMA params={'alpha': 0.001, 'l1_ratio': 0.7} RMSE=157.54
2026-04-07 04:47:04 | INFO     | demo_train                |   SARIMA best={'alpha': 0.001, 'l1_ratio': 0.7} RMSE=157.54
2026-04-07 04:47:04 | INFO     | demo_train                |   Saved → models/sarima.pkl
2026-04-07 04:47:04 | INFO     | demo_train                | ✓ sarima     RMSE=157.54
2026-04-07 04:47:04 | INFO     | demo_train                | Training SARIMAX (ElasticNet + Fourier + exog) ...
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.001, 'l1_ratio': 0.5} RMSE=157.94
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.1, 'l1_ratio': 0.9} RMSE=159.55
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.1, 'l1_ratio': 0.1} RMSE=187.30
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 1.0, 'l1_ratio': 0.9} RMSE=191.90
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.001, 'l1_ratio': 0.5} RMSE=157.94
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.001, 'l1_ratio': 0.9} RMSE=158.27
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.1, 'l1_ratio': 0.9} RMSE=159.55
2026-04-07 04:47:04 | DEBUG    | demo_train                |   SARIMAX params={'alpha': 0.1, 'l1_ratio': 0.9} RMSE=159.55
2026-04-07 04:47:04 | INFO     | demo_train                |   SARIMAX best={'alpha': 0.001, 'l1_ratio': 0.5} RMSE=157.94
2026-04-07 04:47:04 | INFO     | demo_train                |   Saved → models/sarimax.pkl
2026-04-07 04:47:04 | INFO     | demo_train                | ✓ sarimax    RMSE=157.94
2026-04-07 04:47:04 | INFO     | demo_train                | Training Prophet-sim (GradientBoosting + calendar/Fourier) ...
2026-04-07 04:47:21 | INFO     | demo_train                |   Prophet-sim best={'subsample': 0.7, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.01} RMSE=347.73
2026-04-07 04:47:21 | INFO     | demo_train                |   Saved → models/prophet.pkl
2026-04-07 04:47:21 | INFO     | demo_train                | ✓ prophet    RMSE=347.73
2026-04-07 04:47:21 | INFO     | demo_train                | Training XGBoost-sim (RandomForest + RandomizedSearch) ...
2026-04-07 04:47:53 | INFO     | demo_train                |   XGBoost-sim best={'n_estimators': 200, 'min_samples_split': 2, 'max_features': 0.7, 'max_depth': 7} RMSE=11.75
2026-04-07 04:47:53 | INFO     | demo_train                |   Saved → models/xgboost.pkl
2026-04-07 04:47:53 | INFO     | demo_train                | ✓ xgboost    RMSE=11.75
2026-04-07 04:47:53 | INFO     | demo_train                | Metrics saved → models/metrics.json
2026-04-07 04:47:53 | INFO     | demo_train                | 
=======================================================
2026-04-07 04:47:53 | INFO     | demo_train                | FINAL MODEL RANKINGS
2026-04-07 04:47:53 | INFO     | demo_train                | =======================================================
2026-04-07 04:47:53 | INFO     | demo_train                |   arima        RMSE = 0.00
2026-04-07 04:47:53 | INFO     | demo_train                |   xgboost      RMSE = 11.75
2026-04-07 04:47:53 | INFO     | demo_train                |   ar           RMSE = 135.45
2026-04-07 04:47:53 | INFO     | demo_train                |   sarima       RMSE = 157.54
2026-04-07 04:47:53 | INFO     | demo_train                |   sarimax      RMSE = 157.94
2026-04-07 04:47:53 | INFO     | demo_train                |   arimax       RMSE = 308.44
